"Agrupamiento","Categoría","Proveedor","Cod. Barras","Producto","Costo","FactorMin","PrecioMin","FactorMay","PrecioMay","Stock","Activo"
"ACEITES","80W90","ImbelloniR12","","80W90 ACEITE SUELTO","$1.00","5.00%","$5.00","5.00%","$5.00","171","Si"
"ACEITES","10W40","ImbelloniR12","193468934830","ACDELCO 10W40 4L.","$1.00","5.00%","$5.00","5.00%","$5.00","6","Si"
"ACEITES","15W40","ImbelloniR12","193468936766","ACDELCO 15W40 4L. ENVASADO","$1.00","5.00%","$5.00","5.00%","$5.00","1","Si"
"ACEITES","20W50","ImbelloniR12","217928","ACEITE 20W50 SUELTO","$1.00","5.00%","$5.00","5.00%","$5.00","95","Si"
"ACEITES","10W40","ImbelloniR12","7798041157977","ACEITE PARA MOTOR 10W40 VALVOLINE 3.784","$1.00","5.00%","$5.00","5.00%","$5.00","9","Si"
"ACEITES","15W40","ImbelloniR12","7798041158127","ACEITE PARA MOTOR 15W40 VALVOLINE 3.784","$1.00","5.00%","$5.00","5.00%","$5.00","3","Si"
"ACEITES","20W50","ImbelloniR12","7798041158141","ACEITE PARA MOTOR 20W50 VALVOLINE 3.784L","$1.00","5.00%","$5.00","5.00%","$5.00","2","Si"
"ACEITES","5W40","ImbelloniR12","7798041158936","ACEITE PARA MOTOR 5W40 VALVOLINE","$1.00","5.00%","$5.00","5.00%","$5.00","2","Si"
"ACEITES","5W30","ImbelloniR12","7798041158912","ACEITE PARA MOTOR 5W40 VALVOLINE 3.784","$1.00","5.00%","$5.00","5.00%","$5.00","3","Si"
"ACEITES","5W40","ImbelloniR12","","ACEITE SUELTO","$1.00","5.00%","$5.00","5.00%","$5.00","0","Si"
"ACEITES","MOTO 4","ImbelloniR12","7793921206165","MOTO4 CRUISE 20W50 1L","$1.00","5.00%","$5.00","5.00%","$5.00","3","Si"
"ACEITES","10W40","ImbelloniR12","7798095102022","PETRONAS SYNTIUM 10W40 4L","$1.00","5.00%","$5.00","5.00%","$5.00","5","Si"
"ACEITES","5W40","ImbelloniR12","7798095102367","PETRONAS SYNTIUM 3000 5W40 X4L","$20.00","20.00%","$25.00","20.00%","$25.00","5","Si"
"ACEITES","5W30","","195491650480","SAE 5W30 ACEDELCO 4L","$1.00","5.00%","$5.00","5.00%","$5.00","0","Si"
"ACEITES","5W30","","3425901108063","TOTAL QUARTZ 5W30 1L.","$1.00","5.00%","$5.00","5.00%","$5.00","1","Si"
"ACEITES","5W30","","7793921206035","TOTAL QUARTZ 5W30 4L.","$1.00","5.00%","$5.00","5.00%","$5.00","6","Si"
"ADITIVO MOTOR","LIQUIMOL","","","2122 CORTA HUMO LIQUIMOL  300ML","$1.00","5.00%","$5.00","5.00%","$5.00","2","Si"
"ADITIVO MOTOR","LIQUIMOL","ImbelloniR12","7798068983207","PENETRIT LUBRICANTE 0320P","$1.00","5.00%","$5.00","5.00%","$5.00","1","Si"
"ALTERNADOR","PORTA ESCOBILLA","","","PORTA ESCOBILLA ALTERNADOR PE010","$1.00","5.00%","$5.00","5.00%","$5.00","0","Si"
"AMORTIGUADORES","NAKATA","ImbelloniR12","33053","AMOORTIGUADOR NAKATA DEL. HG33053","$1.00","5.00%","$5.00","5.00%","$5.00","0","Si"
"AMORTIGUADORES","CORVEN","ImbelloniR12","","AMORTIGUADOR CORVEN 44277g","$1.00","5.00%","$5.00","5.00%","$5.00","0","Si"
"AMORTIGUADORES","NAKATA","ImbelloniR12","","AMORTIGUADOR DELANTERO PRISMA - ONIX - COBALT HG33089D","$1.00","5.00%","$5.00","5.00%","$5.00","0","Si"
